Name,Notiz,Produzent,Herkunft,Einheit
5-Korn-Flocken,CH KN,Biofarm,Schweiz,1kg
Amarant,BOL KN,Biofarm,Bolivien,1kg
Basmatireis (braun),IND BIO,Biofarm,Indien,1kg
Basmatireis (weiss),,gebana,Indien,1kg
Buchweizenkörner,EU KN,Biofarm,EU,500g
Buchweizenmehl,,Bassetti,Tessin,1kg
Couscous,ITA BIO,Biofarm,Italien,1kg
Dinkelkörner,CH KN,Biofarm,Schweiz,1kg
Dinkelruchmehl,CH KN,Biofarm,Schweiz,1kg
Dinkelvollmehl,CH KN,Biofarm,Schweiz,1kg
Dinkelweissmehl,CH KN,Biofarm,Schweiz,1kg
Farina Bona,geröstetes Maismehl,Bassetti,Tessin,250g
Gerstekörner,CH KN,Biofarm,Schweiz,1kg
Goldhirse,CH KN,Biofarm,Schweiz,1kg
Grünkernkörner,EU KN,Biofarm,EU,1kg
Haferflöckli fein ,CH KN,Biofarm,Schweiz,1kg
Haferkörner,CH KN,Biofarm,Schweiz,1kg
Hartweizenmehl ,für Pasta,Bassetti,Tessin,1kg
Haushaltmehl,CH KN,Biofarm,Schweiz,1kg
Hirseflocken,CH KN,Biofarm,Schweiz,1kg
Kastanienmehl,,Bassetti,Tessin,450g
Langkornreis,,gebana,Indien,1kg
Maismehl,CH KN,Biofarm,Schweiz,1kg
Polenta,,Bassetti,Tessin,1kg
"Polenta (Rosso del Ticino, Pro Specie Rara)",,Bassetti,Tessin,1kg
Quinoa,BOL KN,Biofarm,Bolivien,1kg
Quinoa CH,CH KN,Biofarm,Schweiz,1kg
Riso Nerone,Schwarzer Vollkornreis,Terra Verde,Italien,500g
Riso Rosso Selvaggio,Roter Wildreis,Terra Verde,Italien,500g
Risottoreis,ITA KN,Biofarm,Italien,1kg
Roggenkörner,CH KN,Biofarm,Schweiz,1kg
Roggenvollkornmehl,CH KN,Biofarm,Schweiz,1kg
Weissmehl,CH KN,Biofarm,Schweiz,1kg
Weizenkörner,CH KN,Biofarm,Schweiz,1kg
